transaction_id,customer_id,date,amount,counterparty_country,transaction_type,customer_risk_profile
TXN0001,CUST011,2026-06-08 00:00,2979.12,South Africa,cash_deposit,Low
TXN0002,CUST002,2026-07-14 23:00,3574.11,Zimbabwe,online_transfer,Low
TXN0003,CUST001,2026-06-06 06:00,969.01,USA,wire_transfer,Low
TXN0004,CUST012,2026-07-12 22:00,2202.52,South Africa,cheque,Low
TXN0005,CUST013,2026-07-26 00:00,3047.29,South Africa,cheque,Low
TXN0006,CUST003,2026-06-14 10:00,453.73,UK,wire_transfer,Low
TXN0007,CUST006,2026-07-09 08:00,3238.16,UK,online_transfer,Low
TXN0008,CUST015,2026-06-25 02:00,2230.56,USA,mobile_money,Low
TXN0009,CUST012,2026-06-05 01:00,2661.99,Botswana,wire_transfer,Medium
TXN0010,CUST014,2026-06-07 12:00,1148.0,Botswana,cash_deposit,Low
TXN0011,CUST004,2026-07-13 08:00,2822.19,Zimbabwe,online_transfer,Medium
TXN0012,CUST009,2026-07-17 07:00,695.44,UK,mobile_money,High
TXN0013,CUST011,2026-07-15 17:00,917.48,Botswana,wire_transfer,Low
TXN0014,CUST001,2026-07-22 10:00,1634.6,Zimbabwe,cash_deposit,High
TXN0015,CUST010,2026-07-27 22:00,1292.98,UK,cheque,Medium
TXN0016,CUST011,2026-06-30 04:00,1096.28,South Africa,online_transfer,Low
TXN0017,CUST012,2026-07-08 13:00,3596.4,UK,mobile_money,Low
TXN0018,CUST003,2026-07-03 15:00,409.09,Zimbabwe,wire_transfer,Low
TXN0019,CUST003,2026-07-21 21:00,1717.53,Zimbabwe,cheque,Low
TXN0020,CUST008,2026-07-04 08:00,3885.76,Zimbabwe,wire_transfer,Medium
TXN0021,CUST009,2026-07-19 08:00,3085.96,Botswana,wire_transfer,Low
TXN0022,CUST003,2026-06-30 00:00,3817.57,Botswana,online_transfer,Medium
TXN0023,CUST009,2026-07-29 03:00,3488.55,Botswana,online_transfer,Medium
TXN0024,CUST003,2026-06-24 05:00,2180.55,USA,wire_transfer,Low
TXN0025,CUST008,2026-06-02 03:00,3719.94,Botswana,cash_deposit,Low
TXN0026,CUST015,2026-07-07 02:00,388.33,UK,wire_transfer,High
TXN0027,CUST009,2026-07-20 04:00,557.15,UK,online_transfer,Low
TXN0028,CUST009,2026-07-26 19:00,1721.39,South Africa,online_transfer,Medium
TXN0029,CUST012,2026-06-13 22:00,1281.28,Botswana,cheque,Medium
TXN0030,CUST008,2026-06-08 07:00,937.55,Botswana,wire_transfer,Low
TXN0031,CUST004,2026-07-08 07:00,78.4,Zimbabwe,cash_deposit,Low
TXN0032,CUST001,2026-07-26 10:00,329.89,South Africa,mobile_money,Medium
TXN0033,CUST004,2026-07-05 04:00,2907.24,USA,online_transfer,Low
TXN0034,CUST013,2026-07-01 13:00,802.12,Zimbabwe,cheque,Low
TXN0035,CUST007,2026-06-30 23:00,263.98,Zimbabwe,wire_transfer,Low
TXN0036,CUST006,2026-07-22 03:00,1032.19,South Africa,online_transfer,Low
TXN0037,CUST007,2026-06-12 08:00,1877.38,Zimbabwe,cheque,Medium
TXN0038,CUST014,2026-07-06 03:00,249.82,USA,wire_transfer,High
TXN0039,CUST015,2026-07-19 07:00,706.93,UK,cheque,Low
TXN0040,CUST007,2026-07-28 01:00,700.32,Zimbabwe,cheque,Low
TXN0041,CUST013,2026-07-21 14:00,1176.73,USA,cheque,Low
TXN0042,CUST005,2026-06-14 01:00,2337.76,USA,wire_transfer,Medium
TXN0043,CUST001,2026-06-04 18:00,1933.31,USA,cash_deposit,Low
